Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Scarton, F., A. Luchetta, E. Molin, A. Sartori, and R.G. Valle",2021,First confirmed breeding of an invasive alien species in the lagoon of Venice (Italy): the Sacred Ibis Threskiornis aethiopicus,Rivista Italiana di Ornitologia - Research in Ornithology,,Birds,Threskiornithidae,"sacred Ibis, Threskiornis aethiopicus","nest monitoring, species identification, Italy","Scarton, F., A. Luchetta, E. Molin, A. Sartori, and R.G. Valle. 2021. First confirmed breeding of an invasive alien species in the lagoon of Venice (Italy): the Sacred Ibis Threskiornis aethiopicus. ",,,,
"Schad, L. and J. Fischer",2022,Opportunities and risks in the use of drones for studying animal behaviour,Methods in Ecology and Evolution,,review,,,"review, machine learning, species detection, disturbance","Schad, L. and J. Fischer. 2021. Opportunities and risks in the use of drones for studying animal behaviour. Methods in Ecology and Evolution https://doi.org/10.1111/2041-210X.13922.",hexacopter,Yuneec H520,Yuneec E90 camera,x
"Schaub, J. B.P. V. Hunt, E.A. Pakhomov, K. Holmes,
Y. Lu, and L. Quayle",2018,Using unmanned aerial vehicles (UAVs) to measure jellyfish aggregations,Marine Ecology Progress Series,,Invertebrates,Ulmaridae,Aurelia spp.,"population estimate, British Columbia","Schaub, J. B.P. V. Hunt, E.A. Pakhomov, K. Holmes,
Y. Lu, and L. Quayle. 2018. Using unmanned aerial vehicles (UAVs) to measure jellyfish aggregations. Marine Ecology Progress Series 591: 29–36.",quadcopter,DJI Phantom 3 Pro,DJI 12-MP camera,
"Schedl, D.C., I. Kurmi, and O. Bimber",2020,Airborne Optical Sectioning for Nesting Observation,Scientific Reports,,Birds,Ardeidae,"black-crowned night heron, Nycticorax nycticorax, little egret, Egretta garzetta, grey heron, Ardea cinerea","nest monitoring, species identification, Austria","Schedl, D.C., I. Kurmi, and O. Bimber. 2020. Airborne Optical Sectioning for Nesting Observation. Scientific Reports https://doi.org/10.1038/s41598-020-63317-9.",octocopter,MikroKopter OktoXL 6S12,RGB and Flir Vue Pro thermal camera,
"Schiano, F., D. Natter, D. Zambrano, and D. Floreano",2021,Autonomous detection and deterrence of pigeons on buildings by drones,IEEE Access,,Birds,Columbidae,"pigeon, Columba livia","species detection, human-wildlife conflict, hazing, Switzerland","Schiano, F., D. Natter, D. Zambrano, and D. Floreano. 2021. Autonomous Detection and Deterrence of Pigeons on Buildings by Drones. IEEE Access 10. https://doi.org/10.1109/ACCESS.2021.3137031.",not provided,not provided,not provided,
"Schiffman, R.",2014,Drones Flying High as New Tool for Field Biologists,Science,,review,,,review,"Schiffman, R. 2014. Drones Flying High as New Tool for Field Biologists. Science 344:459.",,,,
"Schofield, G., K. Papafitsoros, R. Haughey, and K. Katselidis",2017,Aerial and underwater surveys reveal temporal variation in cleaning-station use by sea turtles at a temperate breeding area,Marine Ecology Progress Series,,Reptiles,Cheloniidae,"loggerhead sea turtle, Caretta caretta","behavior, health, individual identification, Greece","Schofield, G., K. Papafitsoros, R. Haughey, and K. Katselidis. 2017. Aerial and underwater surveys reveal temporal variation in cleaning-station use by sea turtles at a temperate breeding area. Marine Ecology Progress Series 575: 153–164.",Quadcopter,DJI Phantom 3 Pro,,
"Schofield, G., K.A. Katselidis, M.K.S. Lilley, R.D. Reina, and G.C. Hays",2017,Detecting elusive aspects of wildlife ecology using drones: New insights on the mating dynamics and operational sex ratios of sea turtles,Functional Ecology,,Reptiles,Cheloniidae,"loggerhead sea turtle, Caretta caretta","sex detection, species detection, behavior, Greece","Schofield, G., K.A. Katselidis, M.K.S. Lilley, R.D. Reina, and G.C. Hays. 2017. Detecting elusive aspects of wildlife ecology using drones: New insights on the mating dynamics and operational sex ratios of sea turtles. Functional Ecology 31: 2310-2319.",Quadcopter,DJI Phantom 3 Pro,DJI camera,
"Schofield, G., N. Esteban, K.A. Katselidis, and G.C. Hays",2019,Drones for research on sea turtles and other marine vertebrates – A review,Biological Conservation,,"Fish, marine mammals, reptiles",,,"review, behavior, species detection","Schofield, G., N. Esteban, K.A. Katselidis, and G.C. Hays. 2019. Drones for research on sea turtles and other marine vertebrates – A review. Biological Conservation 238: https://doi.org/10.1016/j.biocon.2019.108214.",,,,
"Scholten, B.D., A.R. Beard, H. Choi, D.M. Baker, M.E. Caulfield, and D.S. Proppe",2020,Short-term exposure to unmanned aerial vehicles does not alter stress responses in breeding tree swallows,Conservation Physiology,,Birds,Hirundinidae,"tree swallow, Tachycineta bicolor","disturbance, physiology, behavior, Michigan","Scholten, B.D., A.R. Beard, H. Choi, D.M. Baker, M.E. Caulfield, and D.S. Proppe. 2020. Short-term exposure to unmanned aerial vehicles does not alter stress responses in breeding tree swallows.  Conservation Physiology 8(1). https://doi.org/10.1093/conphys/coaa080.",quadcopter,DJI Inspire 1,,
"Scholten, C.N., A.J. Kamphuis, K.J. Vredevoogd, K.G. Lee-Strydhorst, J.L. Atma, C.B. Shea, O.N. Lamberg, and D.S. Proppe",2019,Real-time thermal imagery from an unmanned aerial vehicle can locate ground nests of a grassland songbird at rates similar to traditional methods,Biological Conservation,,Birds,Passerellidae,"field sparrow, Spizella pusilla","nest monitoring, ground vs aerial surveys, disturbance, Michigan","Scholten, C.N., A.J. Kamphuis, K.J. Vredevoogd, K.G. Lee-Strydhorst, J.L. Atma, C.B. Shea, O.N. Lamberg, and D.S. Proppe. 2019. Real-time thermal imagery from an unmanned aerial vehicle can locate ground nests of a grassland songbird at rates similar to traditional methods. Biological Conservation 233: 241-246.",Quadcopter,DJI Inspire 1,FLIR XT Zenmuse thermal camera,
"Schroeder, N.M. and A. Panebianco",2021,Sociability strongly affects the behavioural responses of wild guanacos to drones,Scientific Reports,,Mammals,Camelidae,"guanaco, Lama guanicoe","Disturbance, noise, behavior, reaction distance, Argentina","Schroeder, N.M. and A. Panebianco. 2021. Sociability strongly affects the behavioural responses of wild guanacos to drones. Scientific Reports https://doi.org/10.1038/s41598-021-00234-5. ",quadcopter,DJI Phantom 4 Advanced,20-MP camera,
"Schroeder, N.M., A. Panebianco, R.G. Musso, and P. Carmanchahi",2020,An experimental approach to evaluate the potential of drones in terrestrial mammal research: a gregarious ungulate as a study model,Royal Society Open Science,,Mammals,,"guanaco, Lama guanicoe","species detection, population estimate, disturbance, Argentina","Schroeder, N.M., A. Panebianco, R.G. Musso, and P. Carmanchahi. 2020. An experimental approach to evaluate the potential of drones in terrestrial mammal research: a gregarious ungulate as a study model. Royal Society Open Science 7: 191482. http://dx.doi.org/10.1098/rsos.191482.",quadcopter,DJI Phantom 4 Advance,DJI 20-MP camera,
Scientific Committee on Antarctic Research,2017,State of Knowledge of Wildlife Responses to Remotely Piloted Aircraft Systems (RPAS),,Fourth Meeting of the Population and Conservation Status Working Group,"Birds, marine mammals",,,"review, disturbance, best practices, Antarctica","Scientific Committee on Antarctic Research. 2017. State of Knowledge of Wildlife Responses to Remotely Piloted Aircraft Systems (RPAS). PaCSWG4 Doc 06. Fourth Meeting of the Population and Conservation Status Working Group, Wellington, New Zealand, 7-8 September 2017",,,,
"Scobie, C.A. and C.H. Hugenholtz",2016,Wildlife monitoring with unmanned aerial vehicles: quantifying distance to auditory detection,Wildlife Society Bulletin,,Acoustics,,,"noise, acoustic effects, disturbance, hearing, Alberta","Scobie, C.A. and C.H. Hugenholtz. 2016. Wildlife monitoring with unmanned aerial vehicles: quantifying distance to auditory detection. Wildlife Society Bulletin 40: 781–785.","fixed-wing;
quadcopter
","senseFly eBee;
Aeryon Labs SkyRanger ",,
"Seganfreddo, S., J. Teilmann, F.M. van Beest, and A. Galatius",2023,"Phenology of harbor seal pupping and the influence of weather on pup counts, investigated by UAV",Marine Mammal Science,,Marine mammals,Phocidae,harbor seal (Phoca vitulina,"population monitoring, disturbance, Denmark","Seganfreddo, S., J. Teilmann, F.M. van Beest, and A. Galatius. 2023. Phenology of harbor seal pupping and the influence of weather on pup counts, investigated by UAV. Marine Mammal Science https://doi.org/10.1111/mms.13020.",quadcopter,DJI Phantom 3 Standard,,
"Seier, G., C. Hodl, J. Abermann, S. Schottl, A. Maringer, D.N. Hofstadler, U. Probstl-Haider, G.K. Lieb",2021,Unmanned aircraft systems for protected areas: Gadgetry or necessity?,Journal for Nature Conservation,,review,,,disturbance,"Seier, G., C. Hodl, J. Abermann, S. Schottl, A. Maringer, D.N. Hofstadler, U. Probstl-Haider, G.K. Lieb. 2021. Unmanned aircraft systems for protected areas: Gadgetry or necessity? Journal for Nature Conservation https://doi.org/10.1016/j.jnc.2021.126078.",,,,
"Selles-Rios, E. Flatt, J. Ortiz-Garcia, J. Garcia-Colome, O. Latour, and A. Whitworth",2022,"Warm beach, warmer turtles: Using drone-mounted thermal infrared sensors to monitor sea turtle nesting activity",Frontiers in Conservation Science,,Reptiles,Cheloniidae,"olive ridley, Lepidochelys olivacea, green turtle, Chelonia mydas","nest monitoring, Costa Rica","Selles-Rios, E. Flatt, J. Ortiz-Garcia, J. Garcia-Colome, O. Latour, and A. Whitworth. 2022. Warm beach, warmer turtles: Using drone-mounted thermal infrared sensors to monitor sea turtle nesting activity. Frontiers in Conservation Science https://doi.org/10.3389/fcosc.2022.954791.",quadcopter,Autel Robotics EVO II Dual 8K,FLIR Boson 640 thermal IR,
"Semel, B.P., S.M. Karpanty, F.F. Vololonirina, and A.N. Rakotonanahary",2020,"Eyes in the Sky: Assessing the Feasibility of Low-Cost, Ready-to-Use Unmanned Aerial Vehicles to Monitor Primate Populations Directly",Folia Primatologica,,Mammals,Indriidae,"golden-crowned sifaka, Propithecus tattersalli","disturbance, species detection, Madagascar","Semel, B.P., S.M. Karpanty, F.F. Vololonirina, and A.N. Rakotonanahary. 2020. Eyes in the Sky: Assessing the Feasibility of Low-Cost, Ready-to-Use Unmanned Aerial Vehicles to Monitor Primate Populations Directly. Folia Primatologica https://doi.org/10.1159/000496971.",quadcopter,DJI Phantom 2,12-MP GoPro Hero 4 camera,
"Senf, C.",2022,Seeing the System from Above: The Use and Potential of Remote Sensing for Studying Ecosystem Dynamics,Ecosystems,,review,,,review,"Senf, C. 2022. Seeing the System from Above: The Use and Potential of Remote Sensing for Studying Ecosystem Dynamics. Ecosystems https://doi.org/10.1007/s10021-022-00777-2.",,,,
"Sepulveda, M., P. Carrasco, and R. Quinones",2021,Long-term abundance dynamics of the South American sea lion (Otaria flavescens) in the most important breeding colony in central Chile,Austral Ecology,,Marine mammals,Otariidae,"South American sea lion, Otaria flavescens","ground vs aerial surveys, species detection, Chile","Sepulveda, M., P. Carrasco, and R. Quinones. 2021. Long-term abundance dynamics of the South American sea lion (Otaria flavescens) in the most important breeding colony in central Chile. Austral Ecology https://doi.org/10.1111/aec.13086.",quadcopter,"DJI Phantom Vision, DJI Phantom 4 Advance",12-20-MP camera,
"Serin, S. and J.S. Church",2022,Choosing the Right Drone for Animal Research,,"13th International Conference on Methods and Techniques in Behavioral Research, and 6th Seminar on Behavioral Methods",review,,,"review, sensors, platforms ","Serin, S. and J.S. Church. 2022. Choosing the Right Drone for Animal Research. Pages 238-239 in A. Spink, J. Barski, A.-M. Brouwer, G. Riedel, and A. Sil, eds. Volume 2 of the Proceedings of the Joint 12th International Conference on Methods and Techniques in Behavioral Research and 6th Seminar on Behavioral Methods held online, May 18-20, 2022. https://doi.org/10.6084/m9.figshare.20066849.",,,,
"Serpa, N., G. Frainer, B. dos Santos, G.A. Bortolotto, and I.B. Moreno",preprint,Behavioral Repertoire of Lahille’s Bottlenose Dolphins During the “cooperative Fishing” with Artisanal Fishers,Behavioral Ecology and Sociobiology,,marine mamals,Delphinidae,Lahille’s bottlenose dolphin. Tursiops gephyreus,"behavior, human-wildlife interaction, Brazil","Serpa, N., G. Frainer, B. dos Santos, G.A. Bortolotto, and I.B. Moreno. Preprint. Behavioral Repertoire of Lahille’s Bottlenose Dolphins during the “cooperative Fishing” with Artisanal Fishers. Behavioral Ecology and Sociobiology https://doi.org/10.21203/rs.3.rs-3263645/v1.",hexacopter,Dragon Fly S549,,
"Setyawan, E., B.C. Stevenson, M. Izuan, R. Constantine, and M.V. Erdmann",2022,How Big Is That Manta Ray? A Novel and Non-Invasive Method for Measuring Reef Manta Rays Using Small Drones,Drones,,Fish,Mobulidae,"reef manta ray, Mobula alfredi","morphometrics, population status, Indonesia","Setyawan, E., B.C. Stevenson, M. Izuan, R. Constantine, and M.V. Erdmann. 2022. How Big Is That Manta Ray? A Novel and Non-Invasive Method for Measuring Reef Manta Rays Using Small Drones. Drones https://doi.org/10.3390/drones6030063.",quadcopter,DJI Mavic 2 Pro,,
"Seymour, A.C., J. Dale, M. Hammill, P.N. Halpin, and D.W. Johnston",2017,Automated detection and enumeration of marine wildlife using unmanned aircraft systems (UAS) and thermal imagery,Scientific Reports,,Marine mammals,Phocidae,"grey seal, Halichoerus grypus","species detection, Nova Scotia","Seymour, A.C., J. Dale, M. Hammill, P.N. Halpin, and D.W. Johnston. 2017. Automated detection and enumeration of marine wildlife using unmanned aircraft systems (UAS) and thermal imagery. Scientific Reports 7. DOI:10.1038/srep45127.",fixed-wing,senseFly eBee,"Canon S110 12-MP camera, senseFly IR camera",
"Shafer, M.W., G. Vega, K. Rothfus, and P. Flikkema",2019,UAV wildlife radiotelemetry: System and methods of localization,Methods in Ecology and Evolution,,Radiotelemetry,,,"radiotelemetry, accuracy, signal detection, localization, Arizona","Shafer, M.W., G. Vega, K. Rothfus, and P. Flikkema. 2019. UAV wildlife radiotelemetry: System and methods of localization. Methods in Ecology and Evolution 10: 1783-1795.",Hexacopter,Tarot FY690S  ,,
"Shah, K., G. Ballard, A. Schmidt, and M. Schwager",2020,Multidrone aerial surveys of penguin colonies in Antarctica,Science Robotics,,Birds,Spheniscidae,"Adélie penguin, Pygoscelis adeliae","population estimate, nest monitoring, behavior, disturbance, Antarctica","Shah, K., G. Ballard, A. Schmidt, and M. Schwager. 2020. Multidrone aerial surveys of penguin colonies in Antarctica. Science Robotics 5. DOI: 10.1126/scirobotics.abc3000.",quadcopter,DJI Matrice 100,DJI Zenmuse x5 camera,x
"Shahbazi, M., J. Théau, and P. Ménard",2014,Recent applications of unmanned aerial imagery in natural resource management,GIScience & Remote Sensing,,review,,,Review,"Shahbazi, M., J. Théau, and P. Ménard. 2014. Recent applications of unmanned aerial imagery in natural resource management. GIScience & Remote Sensing 51: 339-365.",,,,
"Shao, W., R. Kawakami, R. Yoshihashi, S. You, H. Kawase, and T. Naemura",2020,Cattle detection and counting in UAV images based on convolutional neural networks,International Journal of Remote Sensing,,mammals,Bovidae,"cattle, Bos taurus","population estimate, deep learning, convolutional neural network, Japan","Shao, W., R. Kawakami, R. Yoshihashi, S. You, H. Kawase, and T. Naemura. 2020. Cattle detection and counting in UAV images based on convolutional neural networks. International Journal of Remote Sensing 41(1-2): 31-52.",,DJI Phantom 4,12-MP camera,
"Sharma, J.B., ed.",2019,Applications of Small Unmanned Aircraft Systems: Best Practices and Case Studies,,Book (pdf of TOC),review,,,review,"Sharma, J.B. 2019. Applications of Small Unmanned Aircraft Systems: Best Practices and Case Studies. CRC Press, Boca Raton, FL.",,,,
"Shaw, T.",2022,Keeping wildlife safe from drones,,USFWS webpage,birds,Accipitridae,"bald eagle, Haliaeeatus leucocephalus","disturbance, best practices","Shaw, T. 2022. Keeping wildlife safe from drones. https://www.fws.gov/story/keeping-wildlife-safe-drones. ",,,,
"Shero, M.R., J. Dale, A.C. Seymour, M.O. Hammill, A. Mosnier, S. Mongrain, and D.W. Johnston",2021,Tracking wildlife energy dynamics with unoccupied aircraft systems and three-dimensional photogrammetry,Methods in Ecology and Evolution,,Marine mammals,Phocidae,"grey seal, Halichoerus grypus","physiology, morphometrics, Nova Scotia","Shero, M.R., J. Dale, A.C. Seymour, M.O. Hammill, A. Mosnier, S. Mongrain, and D.W. Johnston. 2021. Tracking wildlife energy dynamics with unoccupied aircraft systems and three-dimensional photogrammetry. Methods in Ecology and Evolution https://doi.org/10.1111/2041-210X.13719.",hexacopter,Freefly Alta 6,Sony alpha a5100 24.3 MP camera,
"Shewring, M.P. and J.O. Vafidis",2021,"Using UAV-mounted thermal cameras to detect the presence of nesting nightjar in upland clear-fell: A case study in South Wales, UK",Ecological Solutions and Evidence,,Birds,Caprimulgidae,"European nightjar, Caprimulgus europaeus","species detection, nest monitoring, UK","Shewring, M.P. and J.O. Vafidis. 2021. Using UAV-mounted thermal cameras to detect the presence of nesting nightjar in upland clear-fell: A case study in South Wales, UK. Ecological Solutions and Evidence https://doi.org/10.1002/2688-8319.12052.","octocopter;
quadcopter",Ascending Technologies Falcon 8; DJI T600 Inspire 1,"Tau 640 thermal IR
camera; Zenmuse XT V2.0 FLIR uncooled thermal IR radiometric sensor",
"Shields, T., A. Currylow, B. Hanley, S. Boland, W. Boarman, and M. Vaughn",2019,Novel management tools for subsidized avian predators and a case study in the conservation of a threatened species,Ecosphere,,"birds, reptiles","Corvidae, Testudinidae","common raven, Corvus corax, Mojave Desert tortoise, Gopherus agassizii","deterence, predator control, California","Shields, T., A. Currylow, B. Hanley, S. Boland, W. Boarman, and M. Vaughn. 2019. Novel management tools for subsidized avian predators and a case study in the conservation of a threatened species. Ecosphere",quadcopter,DJI Phantom 4,,
"Shiels, A.B., J.W. Fischer, D. Spock, and M. Allira",2022,Improving Efficiency of Prairie Dog Surveys by Using a Small Copter Drone,,Proceedings of the 30th Vertebrate Pest Conference,mammals,Sciuridae,"black-tailed prairie dog, Cynomys ludovicianus","abundance estimate, ground vs aerial surveys, disturbance, Colorado","Shiels, A.B., J.W. Fischer, D. Spock, and M. Allira. 2022. Improving Efficiency of Prairie Dog Surveys by Using a Small Copter Drone. Paper 21 in D.M. Woods, ed. Proceedings of the 30th Vertebrate Pest Conference, March 7-10, 2022, Reno, NV.",quadcopter,"Autel Evo II, DJI Matric 210","48-MP Sony IMX586 camera, 20-MP Zenmuse X4S and Zenmuse Z30",
"Shimada. T., K. Koyoma, A. Mori, and Y. Fujimoto",2016,UAV を用いたマガンねぐらの環境収容力の推定 (Estimating the carrying capacity of a goose roost by using a UAV),Japanese Journal of Ornithology,,Birds,Anatidae,"greater white-fronted goose, Anser abifrons","disturbance, Japan","Shimada. T., K. Koyoma, A. Mori, and Y. Fujimoto. 2016. UAV を用いたマガンねぐらの環境収容力の推定 (Estimating the carrying capacity of a goose roost by using a UAV). Japanese Journal of Ornithology 65:161-166. [in Japanese]",quadcopter,DJI Phantom 3,,
"Shirley, T.R. and A.K. Janke",2021,"Use of Small, Unmanned Aircraft Systems and Mist Nets to Capture Ring‐Necked Pheasants",Wildlife Society Bulletin,,Birds,Phasianidae,"ring‐necked pheasant, Phasianus colchicus","species detection, Iowa","Shirley, T.R. and A.K. Janke. 2021. Use of Small, Unmanned Aircraft Systems and Mist Nets to Capture Ring‐Necked Pheasants. Wildlife Society Bulletin https://doi.org/10.1002/wsb.1230.",quadcopter,DJI Matrice 200 V2,DJI Zenmuse XT2 thermal camera,
"Shokirov, S., T. Jucker, S.R. Levick, A.D. Manning, T. Bonnet, M. Yebra, and K.N. Youngentob",2022,Habitat highs and lows: Using terrestrial and UAV LiDAR for modelling avian species richness and abundance in a restored woodland,Remote Sensing of Environment,,Birds,,,"habitat monitoring, habitat modeling, Australia","Shokirov, S., T. Jucker, S.R. Levick, A.D. Manning, T. Bonnet, M. Yebra, and K.N. Youngentob. 2022. Habitat highs and lows: Using terrestrial and UAV LiDAR for modelling avian species richness and abundance in a restored woodland. Remote Sensing of Environment https://doi.org/10.1016/j.rse.2022.113326.",quadcopter,,LiDAR,
"Shrestha, Y. and R. Lapeyre",2018,"Modern Wildlife Monitoring Technologies: Conservationists versus Communities? A Case Study: The Terai-Arc Landscape, Nepal",Conservation and Society,,review,,,"review, management, Nepal","Shrestha, Y. and R. Lapeyre. 2018. Modern Wildlife Monitoring Technologies: Conservationists versus Communities? A Case Study: The Terai-Arc Landscape, Nepal. Conservation and Society 16: 91-101.",,,,
"Siewert, M.B. and J. Olofsson",2021,UAV reveals substantial but heterogeneous effects of herbivores on Arctic vegetation,Scientific Reports,,Mammals,Cricetidae,"Clethrionomys spp., Microtus spp.","vegetation impacts, plant-herbivore interactions, Sweden","Siewert, M.B. and J. Olofsson. 2021. UAV reveals substantial but heterogeneous effects of herbivores on Arctic vegetation. Scientific Reports https://doi.org/10.1038/s41598-021-98497-5.",fixed-wing,senseFly eBee,"Parrot Sequoia multi-spectral camera, Canon G9X RGB camera",
"Sighele, M., F. Scarton, E. Verza, E. Stival, R.G. Valle, M. Cassol, C. Guzzon, R. Maistri, F. Mezzavilla, J. Peruzzo, G. Piras, A. Sartori, P. Utmar, and G. Volcan",2022,"Risultati del censimento delle specie coloniali (Threskiornithidae – Ardeidae – Phalacrocoracidae) nidificanti nel Triveneto (Veneto, province di Trento e Bolzano, Friuli-Venezia Giulia). Anno 2021.",Birding Veneto,,birds,"Ardeidae, Phalacrocoracidae, Threskiornithidae","cattle egret, Bubulcus ibis, gray heron, Ardea cinerea, purple heron, Ardea purpurea, great egret, Ardea alba, little egret, Egretta garzetta, pygmy cormorant, Microcarbo pygmeus, great cormorant, Phalacrocorax carbo, African sacred ibis, Threskiornis aethiopicus, glossy ibis, Plegadis falcinellus, Eurasian spoonbill, Platalea leucorodia, black-crowned night heron, Nycticorax nycticorax, squacco heron, Ardeola ralloides","species identification, population estimate, Italy","Sighele, M., F. Scarton, E. Verza, E. Stival, R.G. Valle, M. Cassol, C. Guzzon, R. Maistri, F. Mezzavilla, J. Peruzzo, G. Piras, A. Sartori, P. Utmar, and G. Volcan. 2022. Risultati del censimento delle specie coloniali (Threskiornithidae – Ardeidae – Phalacrocoracidae) nidificanti nel Triveneto (Veneto, province di Trento e Bolzano, Friuli-Venezia Giulia). Anno 2021. Birding Veneto. https://www.birdingveneto.eu/. [Results of the census of colonial species (Threskiornithidae – Ardeidae – Phalacrocoracidae) nesting in the Triveneto (Veneto, provinces of Trento and Bolzano, Friuli-Venezia Giulia). Year 2021] [in Italian]",,,,
"Sikora, A. and D. Marchowski",2023,The use of drones to study the breeding productivity of Whooper Swan Cygnus cygnus,European Zoological Journal,,Birds,Anatidae,"whooper swan, Cygnus cygnus","nest monitoring, population estimate, ground vs aerial surveys, Poland","Sikora, A. and D. Marchowski. 2023. The use of drones to study the breeding productivity of Whooper Swan Cygnus cygnus. European Zoological Journal https://doi.org/10.1080/24750263.2023.2181414.",quadcopter,DJI Phantom 4 Pro V2.0,20-MP camera,
"Sikora, A. and D. Marchowski",2023,The use of drones to study the breeding productivity of Whooper Swan Cygnus cygnus,European Zoological Journal,,Birds,Anatidae,"whooper swan, Cygnus cygnus","nest monitoring, population estimate, disturbance, Poland","Sikora, A. and D. Marchowski, 2023. The use of drones to study the breeding productivity of Whooper Swan Cygnus cygnus. European Zoological Journal https://doi.org/10.1080/24750263.2023.2181414.",quadcopter,DJI Phantom 4 Pro V2.0,20-MP camera,
"Šimek, P., J. Pavlík, J. Jarolímek, V. Očenášek, and M. Stočes",2017,Use of Unmanned Aerial Vehicles for Wildlife Monitoring,,"Proceedings of the 8th International Conference on Information and Communication Technologies in Agriculture, Food and Environment",review,,,"review, sensors, platforms, Czech Republic","Šimek, P., J. Pavlík, J. Jarolímek, V. Očenášek, and M. Stočes. 2017. Use of Unmanned Aerial Vehicles for Wildlife Monitoring. Pages 795-804 in Proceedings of the 8th International Conference on Information and Communication Technologies in Agriculture, Food and Environment, September 21-24, 2017, Chania, Greece.
",hexacopter,Drone DJI S900,Flir Tau 2 thermal camera,
"Singh, K.K., and A.E. Frazier",2018,A meta-analysis and review of unmanned aircraft system (UAS) imagery for terrestrial applications,International Journal of Remote Sensing,,review,,,"review, platforms, sensors, post-processing","Singh, K.K., and A.E. Frazier. 2018. A meta-analysis and review of unmanned aircraft system (UAS) imagery for terrestrial applications. International Journal of Remote Sensing 39: 5078-5098.",,,,
"Singh, K.K., K. Markham, A.E. Frazier, and J.C. Hodgson",2021,Counting Wildlife from Drone-Captured Imagery Using Visual and Semi-Automated Techniques,,Book chapter (do not have pdf),birds,Laridae,Simulated greater crested tern (Thalasseus bergii) colony,"population estimate, Australia","Singh, K.K., K. Markham, A.E. Frazier, and J.C. Hodgson. 2021. Counting Wildlife from Drone-Captured Imagery Using Visual and Semi-Automated Techniques. Pages 157-178 in A.E. Frazier and K.K. Singh, eds. Fundamentals of Capturing and Processing Drone Imagery and Data. CRC Press, Boca Raton, FL.",quadcopter,3D Robotics Iris+ ,Sony Cyber-shot RX 100 III,
"Sivanpillai, R., G.K. Brown, and B.S. Gellis",2019,Flying UAVs in Constrained Environments: Best Practices for Flying within Complex Forest Canopies,,Book chapter (do not have pdf),Mission planning,,,"Mission planning, data analysis","Sivanpillai, R., G.K. Brown, and B.S. Gellis. 2019. Flying UAVs in Constrained Environments: Best Practices for Flying within Complex Forest Canopies. Pages 269-281 in J.B. Sharma, ed. Applications of Small Unmanned Aircraft Systems: Best Practices and Case Studies. CRC Press, Boca Raton, FL.",,,,
"Slingsby, J., B.E. Scott, L. Kregting, J. McIlvenny, J. Wilson, M. Yanez, S. Langlois, and B.J. Williamson",2022,"Using Unmanned Aerial Vehicle (UAV) Imagery to Characterise Pursuit-Diving Seabird Association With Tidal Stream Hydrodynamic Habitat Features
",Frontiers in Marine Science,,Birds,Alcidae,"black guillemot, Cepphus grille, common guillemot, Uria aalge, razorbill, Alca torda, Atlantic puffin, Fratercula
arctica","habitat association, species identification, disturbance, UK","Slingsby, J., B.E. Scott, L. Kregting, J. McIlvenny, J. Wilson, M. Yanez, S. Langlois, and B.J. Williamson. 2022. Using Unmanned Aerial Vehicle (UAV) Imagery to Characterise Pursuit-Diving Seabird Association With Tidal Stream Hydrodynamic Habitat Features. Frontiers in Marine Science https://doi.org/10.3389/fmars.2022.820722.",quadcopter,DJI Phantom 4 Advanced V2.0,20-MP camera,
"Smit, R.",2016,Automatic animal detection using unmanned aerial vehicles in natural environments,,Thesis,Mammals,Bovidae,"cattle, Bos taurus","species identification, object detection, data analysis","Smit, R. 2016. Automatic animal detection using unmanned aerial vehicles in natural environments. MS Thesis. Department of Artificial Intelligence, University of Groningen, The Netherlands.",quadcopter,DJI Phantom 3,DJI 21-MP camera,
"Smith, C.E., S.T. Sykora-Bodie, B. Bloodworth, S.M. Pack, T.R. Spradlin, and N.R. LeBoeuf",2016,Assessment of known impacts of unmanned aerial systems (UAS) on marine mammals: data gaps and recommendations for researchers in the United States,Journal of Unmanned Vehicle Systems,,Marine mammals,,,"review, disturbance, best practices","Smith, C.E., S.T. Sykora-Bodie, B. Bloodworth, S.M. Pack, T.R. Spradlin, and N.R. LeBoeuf. 2016. Assessment of known impacts of unmanned aerial systems (UAS) on marine mammals: data gaps and recommendations for researchers in the United States. Journal of Unmanned Vehicle Systems 4: 31-44.",,,,
"Smith, J.E. and N. Pinter-Wollman",2020,"Observing the unwatchable: Integrating automated sensing, naturalistic observations and animal social network analysis in the age of big data",Journal of Animal Ecology,,review,,,review,"Smith, J.E. and N. Pinter-Wollman. 2020. Observing the unwatchable: Integrating automated sensing, naturalistic observations and animal social network analysis in the age of big data. Journal of Animal Ecology DOI: 10.1111/1365-2656.13362.",,,,
"Sohn, E.",2021,"Flight Plan: Drones can be high-tech helpers in the natural resource world, but they also pose potential threats to wild places and wildlife. The DNR is preparing for both scenarios",Minnesota Conservation Volunteer Magazine,,Review,,,"review, agency overview, Minnesota","Sohn, E. 2021. Flight Plan: Drones can be high-tech helpers in the natural resource world, but they also pose potential threats to wild places and wildlife. The DNR is preparing for both scenarios. Minnesota Conservation Volunteer Magazine May-June 2021.",,,,
